,Название площадки,Адрес,vector
1113,Клуб «Поле»,"г. Москва, 3-я улица Ямского поля, дом 2, корпус 25","Клуб «Поле» г. Москва, 3-я улица Ямского поля, дом 2, корпус 25"
1114,AZIMUT Сити Отель Смоленская,"г. Москва, Смоленская улица, дом 8","AZIMUT Сити Отель Смоленская г. Москва, Смоленская улица, дом 8"
1115,ЦДК «Строитель» (г. Пушкино),"141254, Московская область, г. Пушкино, улица Вокзальная (заветы Ильича Мкр.), дом 15","ЦДК «Строитель» (г. Пушкино) 141254, Московская область, г. Пушкино, улица Вокзальная (заветы Ильича Мкр.), дом 15"
1116,Центр культуры «Гармония»,"г. Москва, улица Дубнинская, дом 73 А","Центр культуры «Гармония» г. Москва, улица Дубнинская, дом 73 А"
1117,Московский многофункциональный культурный центр,"129347 г.Москва,  Ярославское шоссе, д. 124","Московский многофункциональный культурный центр 129347 г.Москва,  Ярославское шоссе, д. 124"
1118,Cosmos Collection Izumrudny Les Hotel,"Московская область, г.о. Клин, владение «Изумрудный лес»","Cosmos Collection Izumrudny Les Hotel Московская область, г.о. Клин, владение «Изумрудный лес»"
1119,Royal Club (Ресторан «Ovo»),"г. Москва, Новинский бул., 8, стр. 2","Royal Club (Ресторан «Ovo») г. Москва, Новинский бул., 8, стр. 2"
1120,Кинозал ГУМа,"г. Москва, Красная площадь,3","Кинозал ГУМа г. Москва, Красная площадь,3"
1121,Hotel Continental,"г. Москва, улица Тверская, дом 22","Hotel Continental г. Москва, улица Тверская, дом 22"
1122,СДК «Быково»,"Московская обл., Быково, Школьная улица, дом 8","СДК «Быково» Московская обл., Быково, Школьная улица, дом 8"
1123,ДК курорта Кисловодск,"Ставропольский край, г. Кисловодск, улица Желябова, 10","ДК курорта Кисловодск Ставропольский край, г. Кисловодск, улица Желябова, 10"
1124,Shushas bar,"г. Москва. улица Новый Арбат, дом 36 с3","Shushas bar г. Москва. улица Новый Арбат, дом 36 с3"
1125,КЦ «Строгино» на Твардовского,"г. Москва, ул. Твардовского, д. 23, корп. 3","КЦ «Строгино» на Твардовского г. Москва, ул. Твардовского, д. 23, корп. 3"
1126,Ресторан «Кобзаръ»,"г.Москва, улица Михайлова, дом 29, корпус 3","Ресторан «Кобзаръ» г.Москва, улица Михайлова, дом 29, корпус 3"
